RA (degrees),DEC (degrees),Timestamp
246.1547,0.38768083,2028-03-28
122.93213,16.593729,2028-03-30
169.54845,25.523977,2028-04-01
251.82864,-8.8868475,2028-04-03
144.5836,15.781705,2028-04-05
129.4325,-6.389932,2028-04-07
232.16985,27.351812,2028-04-09
73.51121,19.618586,2028-04-11
252.83128,27.40836,2028-04-13
264.26532,20.395681,2028-04-15
149.28119,23.853302,2028-04-17
26.885946,0.09974655,2028-04-19
203.96434,20.733875,2028-04-21
222.10832,-3.1911774,2028-04-23
175.97832,12.413683,2028-04-25
258.23267,-11.929176,2028-04-27
221.67532,9.077592,2028-04-29
223.38838,8.47665,2028-05-01
310.9572,7.860663,2028-05-03
198.20583,22.719122,2028-05-05
